GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1600000US2445650,2445650,"Lansdowne CDP, Maryland",T1_POP$1600000US2445650
1600000US2459325,2459325,"Overlea CDP, Maryland",T1_POP$1600000US2459325
1600000US2460275,2460275,"Parkville CDP, Maryland",T1_POP$1600000US2460275
1600000US2461400,2461400,"Pikesville CDP, Maryland",T1_POP$1600000US2461400
1600000US2463425,2463425,"Potomac Park CDP, Maryland",T1_POP$1600000US2463425
1600000US2473600,2473600,"South Kensington CDP, Maryland",T1_POP$1600000US2473600
1600000US2478425,2478425,"Towson CDP, Maryland",T1_POP$1600000US2478425
1600000US2507000,2507000,"Boston city, Massachusetts",T1_POP$1600000US2507000
1600000US2509210,2509210,"Brookline CDP, Massachusetts",T1_POP$1600000US2509210
1600000US2539835,2539835,"Medford city, Massachusetts",T1_POP$1600000US2539835
1600000US2550005,2550005,"Norton Center CDP, Massachusetts",T1_POP$1600000US2550005
1600000US2562535,2562535,"Somerville city, Massachusetts",T1_POP$1600000US2562535
1600000US2567700,2567700,"Stoneham CDP, Massachusetts",T1_POP$1600000US2567700
1600000US2572250,2572250,"Wakefield CDP, Massachusetts",T1_POP$1600000US2572250
1600000US2621000,2621000,"Dearborn city, Michigan",T1_POP$1600000US2621000
1600000US2622000,2622000,"Detroit city, Michigan",T1_POP$1600000US2622000
1600000US2624740,2624740,"Ecorse city, Michigan",T1_POP$1600000US2624740
1600000US2635540,2635540,"Grosse Pointe Park city, Michigan",T1_POP$1600000US2635540
1600000US2636280,2636280,"Hamtramck city, Michigan",T1_POP$1600000US2636280
1600000US2673560,2673560,"Shields CDP, Michigan",T1_POP$1600000US2673560
1600000US2715616,2715616,"Dellwood city, Minnesota",T1_POP$1600000US2715616
1600000US2721770,2721770,"Forest Lake city, Minnesota",T1_POP$1600000US2721770
1600000US2725334,2725334,"Grant city, Minnesota",T1_POP$1600000US2725334
1600000US2731328,2731328,"Isanti city, Minnesota",T1_POP$1600000US2731328
1600000US2734244,2734244,"Lake Elmo city, Minnesota",T1_POP$1600000US2734244
1600000US2734865,2734865,"Lake St. Croix Beach city, Minnesota",T1_POP$1600000US2734865
1600000US2735414,2735414,"Landfall city, Minnesota",T1_POP$1600000US2735414
1600000US2747680,2747680,"Oakdale city, Minnesota",T1_POP$1600000US2747680
1600000US2747914,2747914,"Oak Park Heights city, Minnesota",T1_POP$1600000US2747914
1600000US2751064,2751064,"Pine City city, Minnesota",T1_POP$1600000US2751064
1600000US2757292,2757292,"St. Marys Point city, Minnesota",T1_POP$1600000US2757292
1600000US2758018,2758018,"St. Paul Park city, Minnesota",T1_POP$1600000US2758018
1600000US2758900,2758900,"Scandia city, Minnesota",T1_POP$1600000US2758900
1600000US2762824,2762824,"Stillwater city, Minnesota",T1_POP$1600000US2762824
1600000US2829340,2829340,"Greenwood city, Mississippi",T1_POP$1600000US2829340
1600000US2848030,2848030,"Mississippi State CDP, Mississippi",T1_POP$1600000US2848030
1600000US2854840,2854840,"Oxford city, Mississippi",T1_POP$1600000US2854840
1600000US2870240,2870240,"Starkville city, Mississippi",T1_POP$1600000US2870240
1600000US2875520,2875520,"University CDP, Mississippi",T1_POP$1600000US2875520
1600000US2965034,2965034,"St. Mary city, Missouri",T1_POP$1600000US2965034
1600000US3130240,3130240,"Madison city, Nebraska",T1_POP$1600000US3130240
1600000US3138960,3138960,"Peru city, Nebraska",T1_POP$1600000US3138960
1600000US3240000,3240000,"Las Vegas city, Nevada",T1_POP$1600000US3240000
1600000US3332980,3332980,"Hampton CDP, New Hampshire",T1_POP$1600000US3332980
1600000US3352020,3352020,"New London CDP, New Hampshire",T1_POP$1600000US3352020
1600000US3362900,3362900,"Portsmouth city, New Hampshire",T1_POP$1600000US3362900
1600000US3403580,3403580,"Bayonne city, New Jersey",T1_POP$1600000US3403580
1600000US3419900,3419900,"Echelon CDP, New Jersey",T1_POP$1600000US3419900
1600000US3426070,3426070,"Gibbsboro borough, New Jersey",T1_POP$1600000US3426070
1600000US3436000,3436000,"Jersey City city, New Jersey",T1_POP$1600000US3436000
1600000US3438610,3438610,"Lambertville city, New Jersey",T1_POP$1600000US3438610
1600000US3451210,3451210,"New Brunswick city, New Jersey",T1_POP$1600000US3451210
1600000US3466570,3466570,"Secaucus town, New Jersey",T1_POP$1600000US3466570
1600000US3469900,3469900,"Springdale CDP, New Jersey",T1_POP$1600000US3469900
1600000US3474630,3474630,"Union City city, New Jersey",T1_POP$1600000US3474630
1600000US3501780,3501780,"Alamogordo city, New Mexico",T1_POP$1600000US3501780
1600000US3502000,3502000,"Albuquerque city, New Mexico",T1_POP$1600000US3502000
1600000US3508440,3508440,"Boles Acres CDP, New Mexico",T1_POP$1600000US3508440
1600000US3531330,3531330,"Hagerman town, New Mexico",T1_POP$1600000US3531330
1600000US3554500,3554500,"Orogrande CDP, New Mexico",T1_POP$1600000US3554500
1600000US3564930,3564930,"Roswell city, New Mexico",T1_POP$1600000US3564930
1600000US3605100,3605100,"Beacon city, New York",T1_POP$1600000US3605100
1600000US3625109,3625109,"Fairview CDP (Dutchess County), New York",T1_POP$1600000US3625109
1600000US3659641,3659641,"Poughkeepsie city, New York",T1_POP$1600000US3659641
1600000US3673000,3673000,"Syracuse city, New York",T1_POP$1600000US3673000
1600000US3709060,3709060,"Burlington city, North Carolina",T1_POP$1600000US3709060
1600000US3712480,3712480,"China Grove town, North Carolina",T1_POP$1600000US3712480
1600000US3713000,3713000,"Cleveland town, North Carolina",T1_POP$1600000US3713000
1600000US3721095,3721095,"Elon town, North Carolina",T1_POP$1600000US3721095
1600000US3736860,3736860,"Landis town, North Carolina",T1_POP$1600000US3736860
1600000US3757500,3757500,"Rocky Mount city, North Carolina",T1_POP$1600000US3757500
1600000US3758860,3758860,"Salisbury city, North Carolina",T1_POP$1600000US3758860
1600000US3766520,3766520,"Tabor City town, North Carolina",T1_POP$1600000US3766520
1600000US3766960,3766960,"Taylorsville town, North Carolina",T1_POP$1600000US3766960
1600000US3768520,3768520,"Troy town, North Carolina",T1_POP$1600000US3768520
1600000US3832060,3832060,"Grand Forks city, North Dakota",T1_POP$1600000US3832060
1600000US3849900,3849900,"Mandan city, North Dakota",T1_POP$1600000US3849900
1600000US3881700,3881700,"Venturia city, North Dakota",T1_POP$1600000US3881700
1600000US3910436,3910436,"Burton village, Ohio",T1_POP$1600000US3910436
1600000US3913358,3913358,"Chagrin Falls village, Ohio",T1_POP$1600000US3913358
1600000US3916000,3916000,"Cleveland city, Ohio",T1_POP$1600000US3916000
1600000US3916014,3916014,"Cleveland Heights city, Ohio",T1_POP$1600000US3916014
1600000US3921000,3921000,"Dayton city, Ohio",T1_POP$1600000US3921000
1600000US3925914,3925914,"Fairborn city, Ohio",T1_POP$1600000US3925914
1600000US3936918,3936918,"Hunting Valley village, Ohio",T1_POP$1600000US3936918
1600000US3940642,3940642,"Kirtland city, Ohio",T1_POP$1600000US3940642
1600000US3949700,3949700,"Middlefield village, Ohio",T1_POP$1600000US3949700
1600000US3973684,3973684,"South Russell village, Ohio",T1_POP$1600000US3973684
1600000US3976022,3976022,"Sylvania city, Ohio",T1_POP$1600000US3976022
1600000US4209224,4209224,"Brookville borough, Pennsylvania",T1_POP$1600000US4209224
1600000US4222016,4222016,"East Washington borough, Pennsylvania",T1_POP$1600000US4222016
1600000US4228960,4228960,"Gettysburg borough, Pennsylvania",T1_POP$1600000US4228960
1600000US4230435,4230435,"Grantley CDP, Pennsylvania",T1_POP$1600000US4230435
1600000US4239736,4239736,"King of Prussia CDP, Pennsylvania",T1_POP$1600000US4239736
1600000US4249128,4249128,"Middletown borough, Pennsylvania",T1_POP$1600000US4249128
1600000US4253296,4253296,"New Britain borough, Pennsylvania",T1_POP$1600000US4253296
1600000US4277568,4277568,"Troutville borough, Pennsylvania",T1_POP$1600000US4277568
1600000US4278700,4278700,"University of Pittsburgh Johnstown CDP, Pennsylvania",T1_POP$1600000US4278700
1600000US4281328,4281328,"Washington city, Pennsylvania",T1_POP$1600000US4281328
1600000US4287048,4287048,"York city, Pennsylvania",T1_POP$1600000US4287048
1600000US4507210,4507210,"Bluffton town, South Carolina",T1_POP$1600000US4507210
1600000US4528060,4528060,"Gaffney city, South Carolina",T1_POP$1600000US4528060
1600000US4615140,4615140,"Custer city, South Dakota",T1_POP$1600000US4615140
1600000US4659260,4659260,"Sisseton city, South Dakota",T1_POP$1600000US4659260
1600000US4723500,4723500,"Elizabethton city, Tennessee",T1_POP$1600000US4723500
1600000US4731100,4731100,"Green Hill CDP, Tennessee",T1_POP$1600000US4731100
1600000US4749060,4749060,"Millington city, Tennessee",T1_POP$1600000US4749060
1600000US4750780,4750780,"Mount Juliet city, Tennessee",T1_POP$1600000US4750780
1600000US4756040,4756040,"Orme town, Tennessee",T1_POP$1600000US4756040
1600000US4770060,4770060,"South Pittsburg city, Tennessee",T1_POP$1600000US4770060
1600000US4801000,4801000,"Abilene city, Texas",T1_POP$1600000US4801000
1600000US4804462,4804462,"Atascocita CDP, Texas",T1_POP$1600000US4804462
1600000US4805000,4805000,"Austin city, Texas",T1_POP$1600000US4805000
1600000US4805732,4805732,"Bartlett city, Texas",T1_POP$1600000US4805732
1600000US4807000,4807000,"Beaumont city, Texas",T1_POP$1600000US4807000
1600000US4813312,4813312,"Castroville city, Texas",T1_POP$1600000US4813312
1600000US4813552,4813552,"Cedar Park city, Texas",T1_POP$1600000US4813552
1600000US4814920,4814920,"Cibolo city, Texas",T1_POP$1600000US4814920
1600000US4820308,4820308,"Diboll city, Texas",T1_POP$1600000US4820308
1600000US4822660,4822660,"Edinburg city, Texas",T1_POP$1600000US4822660
1600000US4825572,4825572,"Fate city, Texas",T1_POP$1600000US4825572
1600000US4828068,4828068,"Galveston city, Texas",T1_POP$1600000US4828068
1600000US4835000,4835000,"Houston city, Texas",T1_POP$1600000US4835000
1600000US4839680,4839680,"Knollwood city, Texas",T1_POP$1600000US4839680
1600000US4842016,4842016,"Leander city, Texas",T1_POP$1600000US4842016
1600000US4845384,4845384,"McAllen city, Texas",T1_POP$1600000US4845384
