"CBSACode","CBSApop","CBSAhhi","CBSATitle","Type","CBSAhhico","CBSAhhipl","CBSAplcount","CBSAplby10000","CBSAmdpi2007","CBSApcpop","CBSApcprop","CBSAzb"
12220,140247,0.362587814451191,"Auburn-Opelika, AL",1,1,0.236560904566121,6,0.427816637789044,2.45225819547352,79857,0.569402554065328,0.751343025658364
12260,564873,0.16545797685299,"Augusta-Richmond County, GA-SC",1,0.260294044429582,0.125229110799187,27,0.477983546744135,4.27791443824392,195844,0.346704480476142,1.37864831192173
12300,122151,0.570715858762648,"Augusta-Waterville, ME",0,1,0.0437425619908528,4,0.327463549213678,5.73166289286824,34858,0.28536810996226,1.14751276607952
12380,39163,0.44197291633939,"Austin, MN",0,1,0.401024442093896,14,3.57480274749125,3.72352164780486,24718,0.63115695937492,5.6638886641314
12420,1716289,0.214580751105671,"Austin-Round Rock, TX",1,0.427549853927281,0.21934718673062,47,0.273846654030877,6.35686751128273,890277,0.518722080022654,0.527925578218914
12460,27842,0.54433729226646,"Bainbridge, GA",0,1,0.208391170664354,4,1.43667839954026,1.82426105276234,12697,0.456037640974068,3.15035047649051
12540,839631,0.435660241654869,"Bakersfield, CA",1,1,0.179141396319919,11,0.131009931743826,4.46318136360267,347483,0.413852037383089,0.316562249088445
12580,2710489,0.156688119674716,"Baltimore-Columbia-Towson, MD",1,0.203534092346516,0.0528319383735172,20,0.0737874235977346,3.39113162229502,775773,0.286211454833427,0.25780737406432
12620,153923,0.597509528958381,"Bangor, ME",1,1,0.0524621912328785,3,0.194902646128259,6.68179229279407,33039,0.214646284181052,0.908017797148824
12660,61976,0.412131476421366,"Baraboo, WI",0,1,0.0708278936041882,15,2.42029172582935,4.78469807139058,12048,0.194397831418614,12.4501992031872
12680,43437,0.624550725900768,"Bardstown, KY",0,1,0.0733188572620472,4,0.920873909339964,NA,11700,0.269355618481939,3.41880341880342
12700,215888,0.713727826518561,"Barnstable Town, MA",1,1,0.0438213080734597,1,0.0463203142370118,5.15849276205134,45193,0.209335396131327,0.221273206027482
12740,59534,0.565903779955151,"Barre, VT",0,1,0.0426857315684961,6,1.00782745993886,4.69108481745037,9052,0.152047569456109,6.6283694211224
12780,50976,0.822665078445795,"Bartlesville, OK",0,1,0.00494121039481327,5,0.980853735091023,2.17128382079938,35750,0.701310420590082,1.3986013986014
12820,27979,0.551255399248606,"Bastrop, LA",0,1,0.165734950526411,5,1.78705457664677,1.75301139646022,11365,0.406197505271811,4.3994720633524
12860,60079,0.508383416414698,"Batavia, NY",0,1,0.0750308991134896,8,1.33158008621981,3.18688162082621,15465,0.257411075417367,5.17297122534756
12900,36647,0.541120115092924,"Batesville, AR",0,1,0.0824204727959691,9,2.45586268998827,2.77843160791843,10248,0.279640898299997,8.78220140515222
12940,802484,0.201469461694577,"Baton Rouge, LA",1,0.348794860523057,0.0843272857415748,36,0.448607075032026,3.8226210639412,229493,0.285978287417568,1.56867529728576
12980,136146,0.47184117730827,"Battle Creek, MI",1,1,0.156279990093487,8,0.587604483422209,3.3382280391406,52347,0.384491648671279,1.52826331977
13020,107771,0.398529298878158,"Bay City, MI",1,1,0.257513704441041,5,0.463946701802897,3.09708606239767,34932,0.324131723747576,1.43135234169243
13060,36702,0.481934859014346,"Bay City, TX",0,1,0.246847390518663,2,0.544929431638603,2.42962680052731,17614,0.479919350444117,1.13546042920404
13100,22311,0.43725786959936,"Beatrice, NE",0,1,0.31790546383977,12,5.37851284119941,3.46309608829092,12459,0.558424095737529,9.63159162051529
13140,403190,0.190680277710231,"Beaumont-Port Arthur, TX",1,0.452335248654438,0.112994427484168,22,0.545648453582678,4.52596245778454,172114,0.426880626999678,1.27822257341065
13180,88759,0.293627834910368,"Beaver Dam, WI",0,1,0.155415573104803,18,2.02796336146194,5.12539094962879,16214,0.182674433015244,11.1015172073517
13220,124898,0.329163970591943,"Beckley, WV",1,0.534525198935852,0.0250118470961725,15,1.20097999967974,3.207920557374,17614,0.141027078095726,8.51595321903032
13260,46134,0.549771875998215,"Bedford, IN",0,1,0.0940791248882848,3,0.650279620236702,2.62890640140766,13413,0.290740018207829,2.23663609930664
13300,31861,0.590220347059656,"Beeville, TX",0,1,0.162991791812061,1,0.313863343900066,1.88630267789404,12863,0.403722419258655,0.777423618129519
13340,45858,0.490755099858151,"Bellefontaine, OH",0,1,0.0898309328715042,12,2.616773518252,3.79652351517981,13370,0.291552182825243,8.97531787584144
13380,201140,0.476130949485514,"Bellingham, WA",1,1,0.169242772718325,7,0.348016307049816,4.02870399508027,80885,0.402132842796062,0.865426222414539
